context,question,answer,false_answer1,false_answer2,false_answer3
"On 1 March 1951 Mao sent a cable to Stalin, in which he emphasized the difficulties faced by Chinese forces and the urgent need for air cover, especially over supply lines. Apparently impressed by the Chinese war effort, Stalin finally agreed to supply two air force divisions, three anti-aircraft divisions, and six thousand trucks. PVA troops in Korea continued to suffer severe logistical problems throughout the war. In late April Peng Dehuai sent his deputy, Hong Xuezhi, to brief Zhou Enlai in Beijing. What Chinese soldiers feared, Hong said, was not the enemy, but that they had nothing to eat, no bullets to shoot, and no trucks to transport them to the rear when they were wounded. Zhou attempted to respond to the PVA's logistical concerns by increasing Chinese production and improving methods of supply, but these efforts were never completely sufficient. At the same time, large-scale air defense training programs were carried out, and the Chinese Air Force began to participate in the war from September 1951 onward.",What did Stalin agree to supply?," two air force divisions, three anti-aircraft Divisions, and six thousand trucks", none of the four air force Divisions, six thousand truck divisions., one air force.
"On 1 March 1951 Mao sent a cable to Stalin, in which he emphasized the difficulties faced by Chinese forces and the urgent need for air cover, especially over supply lines. Apparently impressed by the Chinese war effort, Stalin finally agreed to supply two air force divisions, three anti-aircraft divisions, and six thousand trucks. PVA troops in Korea continued to suffer severe logistical problems throughout the war. In late April Peng Dehuai sent his deputy, Hong Xuezhi, to brief Zhou Enlai in Beijing. What Chinese soldiers feared, Hong said, was not the enemy, but that they had nothing to eat, no bullets to shoot, and no trucks to transport them to the rear when they were wounded. Zhou attempted to respond to the PVA's logistical concerns by increasing Chinese production and improving methods of supply, but these efforts were never completely sufficient. At the same time, large-scale air defense training programs were carried out, and the Chinese Air Force began to participate in the war from September 1951 onward.",Who was the deputy of Peng Dehuai?, Hong Xuezhi, Zhou Enlai, Mao, Zhou Ajain
"Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart on the right. The characters encoded are numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines, and a space. For example, lowercase j would become binary 1101010 and decimal 106. ASCII includes definitions for 128 characters: 33 are non-printing control characters (many now obsolete) that affect how text and space are processed and 95 printable characters, including the space (which is considered an invisible graphic:223).",How many characters does ASCII encode?, 128 characters, 12 characters, 1183 characters, 383 characters
"Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart on the right. The characters encoded are numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines, and a space. For example, lowercase j would become binary 1101010 and decimal 106. ASCII includes definitions for 128 characters: 33 are non-printing control characters (many now obsolete) that affect how text and space are processed and 95 printable characters, including the space (which is considered an invisible graphic:223).",What are the two binary characters?, 1101010 and decimal 106, 910; decimal 100 and control codes, 1813 and no 128, 1101010 and lowcase j
"Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart on the right. The characters encoded are numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines, and a space. For example, lowercase j would become binary 1101010 and decimal 106. ASCII includes definitions for 128 characters: 33 are non-printing control characters (many now obsolete) that affect how text and space are processed and 95 printable characters, including the space (which is considered an invisible graphic:223).",How many non-printing control characters are there?, 33, 39, 11, 9
"Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart on the right. The characters encoded are numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines, and a space. For example, lowercase j would become binary 1101010 and decimal 106. ASCII includes definitions for 128 characters: 33 are non-printing control characters (many now obsolete) that affect how text and space are processed and 95 printable characters, including the space (which is considered an invisible graphic:223).",What are the characters encoded?," numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines"," numbers a to z, uppercase letter A to c, basic points and decimal 106"," numbers z to 0, lowercase letter a of z"," numbers 0  9, upper case letters A Z, basic pencodes, mouse models, computer games, and more"
"Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart on the right. The characters encoded are numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines, and a space. For example, lowercase j would become binary 1101010 and decimal 106. ASCII includes definitions for 128 characters: 33 are non-printing control characters (many now obsolete) that affect how text and space are processed and 95 printable characters, including the space (which is considered an invisible graphic:223).",How many characters are encoded in ASCII?, 112, 107, 128, 119
"Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart on the right. The characters encoded are numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines, and a space. For example, lowercase j would become binary 1101010 and decimal 106. ASCII includes definitions for 128 characters: 33 are non-printing control characters (many now obsolete) that affect how text and space are processed and 95 printable characters, including the space (which is considered an invisible graphic:223).",How many printable characters are included in ASCII?, 95, 70, 80, 33
"Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart on the right. The characters encoded are numbers 0 to 9, lowercase letters a to z, uppercase letters A to Z, basic punctuation symbols, control codes that originated with Teletype machines, and a space. For example, lowercase j would become binary 1101010 and decimal 106. ASCII includes definitions for 128 characters: 33 are non-printing control characters (many now obsolete) that affect how text and space are processed and 95 printable characters, including the space (which is considered an invisible graphic:223).",What is one of the definitions for 9 printable characters?, the space (which is considered an invisible graphic:223), the space to be protected from being forgotten, the space which is considered binary 1101010 and decimal 106, the space with basic punctuation symbols
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.",What historical genealogy did McKena and Bell study?, mammalia, mammals, species, population
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.",What was the profession of McKena and Bell?, paleontologists, scientist, scientists, the owner of the American Museum of Natural History
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.",When was the classification of mammal taxa revised?, 1997, 1999, 1998, 1996
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.",Where did the authors work together as paleontologists?," American Museum of Natural History, New York", National Park in New York., American Museum and Wildlife Refuge," American Library of Natural Science, New England"
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.",What types of taxa did Bell and McKen, living and extinct taxa, living taxa, observing and living taxa, solitary taxa and genetically
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.",Who inherited the project from?, Simpson, Malcolm C. McKenna, Susan K. Bell, Susan and Malcolm C
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.","What is the most comprehensive work to date on mammal taxa, living and extinct?", Classification of Mammals above the Species Level, Recent occurrences of all mammal taxa down through the rank of genus, Reclassification of Mammals., classification of Mammmal taxo
"In 1997, the mammals were comprehensively revised by Malcolm C. McKenna and Susan K. Bell, which has resulted in the McKenna/Bell classification. Their 1997 book, Classification of Mammals above the Species Level, is the most comprehensive work to date on the systematics, relationships, and occurrences of all mammal taxa, living and extinct, down through the rank of genus, though recent molecular genetic data challenge several of the higher level groupings. The authors worked together as paleontologists at the American Museum of Natural History, New York. McKenna inherited the project from Simpson and, with Bell, constructed a completely updated hierarchical system, covering living and extinct taxa that reflects the historical genealogy of Mammalia.",Who revised the classification of mammals in 1997?, Malcolm C. McKenna and Susan K. Bell, Susan K B. Bell, Malcolm B. McKe, Malcolm C Sutter
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",What was Switzerland's median income in 2007?," 95,824 USD"," 137,094 USD", 137.094 dollars," 137,094,00 USD"
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",What country has the largest account balances as a percentage of GDP?, Switzerland, Germany, America, France
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",What was the gross median household income in Switzerland?," 137,094 USD"," 95,824 USD", 824 USD," 137,094 USD. NN."
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",Who published the Global Competitiveness Report?, The World Economic Forum, The Business Forum, The World Economy, The Economic Union
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",What is Switzerland's economy ranked by the European Union?, Europe's most innovative country, Europe's richest country, Europe as the wealthiet country., Europe's largest bank
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",What is the name of Switzerland's economic report?, global Competitiveness Report, Global Economic Report, Business Report, World Economic Forum
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",What is the percentage of Switzerland's account balance?, GDP, Economy, Income., Gross income.
"The World Economic Forum's Global Competitiveness Report currently ranks Switzerland's economy as the most competitive in the world, while ranked by the European Union as Europe's most innovative country. For much of the 20th century, Switzerland was the wealthiest country in Europe by a considerable margin (by GDP – per capita). In 2007 the gross median household income in Switzerland was an estimated 137,094 USD at Purchasing power parity while the median income was 95,824 USD. Switzerland also has one of the world's largest account balances as a percentage of GDP.",What is Switzerland one of?, the world's largest account balances, the world's largest household income, the world's largest bank, the world world' s largest accounts balances and the world economy
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",What is the reasoning behind a god of plague becoming an evil?, god responsible for bringing the plague must be appeased in order to remove the plague, Apollo Smintheus was responsible for bringing the plague," Chryses, the Trojan priest of Apollo must be appeased in order to remove the plague", god of plague can not be appeased
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",What is the name of a Trojan priest?, Apollo Smintheus, The Hittite, Shamash  Tarhunta, Clap Aplu
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",What is the Hittite form?, Apaliunas, Shama, Aplu, Smintheus
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",Who was the Trojan priest of Apollo?, Chryses, Shamash, Shama, Smintheus
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",What is the name of Apaliunas?, dx-ap-pa-li-u-na-a, dix ac pa lu ma ne a u na a., dxx ab ai pa lna a u na ca, Apaliua a p lil u na. d
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",Who was the god of Enlil?, Nergal, Ahrheus, Enlil, Etruscan
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",What does Akkadian Aplu mean?, the son of Enlil, the god Smintheus, the goddess of the sun, the monaste of the sun
"A number of non-Greek etymologies have been suggested for the name, The Hittite form Apaliunas (dx-ap-pa-li-u-na-aš) is attested in the Manapa-Tarhunta letter, perhaps related to Hurrian (and certainly the Etruscan) Aplu, a god of plague, in turn likely from Akkadian Aplu Enlil meaning simply ""the son of Enlil"", a title that was given to the god Nergal, who was linked to Shamash, Babylonian god of the sun. The role of Apollo as god of plague is evident in the invocation of Apollo Smintheus (""mouse Apollo"") by Chryses, the Trojan priest of Apollo, with the purpose of sending a plague against the Greeks (the reasoning behind a god of the plague becoming a god of healing is of course apotropaic, meaning that the god responsible for bringing the plague must be appeased in order to remove the plague).",What Babylonian god was Nergal linked to?, Shamash, Euruscan, Agulas, Hurrian Aplu
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",What did Peter Wallison believe was the reason for his belief that Freddie and Fannie were insecure loans?, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie," that, in 2008, Fannie and Freddie held 13 million substandard loans", because Freddie and Fannie are insecure loans., primarily to affordable housing policies initiated by HUD in the 1990s.
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",In what year did Fannie and Freddie hold 13 million substandard loans?, 2008, 2009, 2007, 2010
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",How much did Wallison estimate in 2008 that Fannie and Freddie held 13 million substandard loans?, $1 trillion,  2 trillion, 7 trillion, 2 billion
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",How much did Wallison estimate in 2008 that Fannie and Freddie held 13 million substandard loans?, $6 billion, 2 billion, 7 billion., 1 billion
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",What did Wallison believe the financial crisis can be traced to?, affordable housing policies initiated by HUD in the 1990s, Massive risky loan purchases by government sponsored entities., securities fraud cases against ex executives of Fannie Mae., large risky loans of Fannie Mae and Freddie Mac
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",How many ex-executives of Fannie and Freddie were in the securities fraud case?, 12, 13, 6, 16
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",Who disagreed with the report of Financial Crisis Inquiry Commission?, Peter J. Wallison, Peter P. Wallo, Peter J. Wallison and Edward Pint, Michael P. Wallison
"In his dissent to the majority report of the Financial Crisis Inquiry Commission, American Enterprise Institute fellow Peter J. Wallison stated his belief that the roots of the financial crisis can be traced directly and primarily to affordable housing policies initiated by HUD in the 1990s and to massive risky loan purchases by government-sponsored entities Fannie Mae and Freddie Mac. Later, based upon information in the SEC's December 2011 securities fraud case against 6 ex-executives of Fannie and Freddie, Peter Wallison and Edward Pinto estimated that, in 2008, Fannie and Freddie held 13 million substandard loans totaling over $2 trillion.",How much did the SEC estimate that Fannie and Freddie held in 2008?, 13 million substandard loans totaling over $2 trillion, 3 million substandard loans,  1 trillion in substandard loans,  2 trillion substandard lending totaling in 2010
"While other companies were moving on to 32-bit systems, Rare and Nintendo proved that the SNES was still a strong contender in the market. In November 1994, Rare released Donkey Kong Country, a platform game featuring 3D models and textures pre-rendered on SGI workstations. With its detailed graphics, fluid animation and high-quality music, Donkey Kong Country rivaled the aesthetic quality of games that were being released on newer 32-bit CD-based consoles. In the last 45 days of 1994, the game sold 6.1 million units, making it the fastest-selling video game in history to that date. This game sent a message that early 32-bit systems had little to offer over the SNES, and helped make way for the more advanced consoles on the horizon.",Rare and Nintendo proved that what was still a strong contender in the market?, the SNES, Donkey Kong Country, the video game, the gaming console
"While other companies were moving on to 32-bit systems, Rare and Nintendo proved that the SNES was still a strong contender in the market. In November 1994, Rare released Donkey Kong Country, a platform game featuring 3D models and textures pre-rendered on SGI workstations. With its detailed graphics, fluid animation and high-quality music, Donkey Kong Country rivaled the aesthetic quality of games that were being released on newer 32-bit CD-based consoles. In the last 45 days of 1994, the game sold 6.1 million units, making it the fastest-selling video game in history to that date. This game sent a message that early 32-bit systems had little to offer over the SNES, and helped make way for the more advanced consoles on the horizon.",When did Rare release Donkey Kong Country?, November 1994, March 1994, November 1993, November 2006
"While other companies were moving on to 32-bit systems, Rare and Nintendo proved that the SNES was still a strong contender in the market. In November 1994, Rare released Donkey Kong Country, a platform game featuring 3D models and textures pre-rendered on SGI workstations. With its detailed graphics, fluid animation and high-quality music, Donkey Kong Country rivaled the aesthetic quality of games that were being released on newer 32-bit CD-based consoles. In the last 45 days of 1994, the game sold 6.1 million units, making it the fastest-selling video game in history to that date. This game sent a message that early 32-bit systems had little to offer over the SNES, and helped make way for the more advanced consoles on the horizon.",How many units did Donkey Kong Country sell in 1994?, 6.1 million units, 6.5 million units., 7.1 million units, 6.1 billion units
"While other companies were moving on to 32-bit systems, Rare and Nintendo proved that the SNES was still a strong contender in the market. In November 1994, Rare released Donkey Kong Country, a platform game featuring 3D models and textures pre-rendered on SGI workstations. With its detailed graphics, fluid animation and high-quality music, Donkey Kong Country rivaled the aesthetic quality of games that were being released on newer 32-bit CD-based consoles. In the last 45 days of 1994, the game sold 6.1 million units, making it the fastest-selling video game in history to that date. This game sent a message that early 32-bit systems had little to offer over the SNES, and helped make way for the more advanced consoles on the horizon.",What was the name of Rare's platform game?, Donkey Kong Country, Nintendo, The SNES, Rare's SNES
"While other companies were moving on to 32-bit systems, Rare and Nintendo proved that the SNES was still a strong contender in the market. In November 1994, Rare released Donkey Kong Country, a platform game featuring 3D models and textures pre-rendered on SGI workstations. With its detailed graphics, fluid animation and high-quality music, Donkey Kong Country rivaled the aesthetic quality of games that were being released on newer 32-bit CD-based consoles. In the last 45 days of 1994, the game sold 6.1 million units, making it the fastest-selling video game in history to that date. This game sent a message that early 32-bit systems had little to offer over the SNES, and helped make way for the more advanced consoles on the horizon.",What was the name of a company that moved on to?, 32-bit systems, Rare, Nintendo, SGI workstations
